Commande	Oeil	Type	Matiere	Diametre	Base	Sphere	Mesure.Sphere	Cylindre	Mesure.cylindre	Axe	Mesure axe	Addition	Mesure addition	Epais. centre	MesureEpais. centre
7638985	D	OXL	BL	80	4	-0.25	-0.28	1.25	1.29	40	40	3	3.13	33	33.9
7638985	G	OXL	BL	80	4	0	0.01		0.05		8	3	3.02	25	25.9
7639148	D	OXL	BL	80	4	-0.75	-0.8	0.5	0.49	35	33	2.5	2.5	23	23.3
7639148	G	OXL	BL	80	4	-0.25	-0.18	0.5	0.41	180	175	2.5	2.57	25	26
7639719	D	OXL	BL	80	4	0	-0.07		0.07		165	2	1.97	23	23.7
7639719	G	OXL	BL	80	4	0.25	0.2		0.03		7	2	2	24	24.2
7626388	G	OXL	BL	80	4	0	-0.06		0.06		37	2	2.01	23	21.2
7637911	D	OXL	BL	80	4	-2.5	-2.5	1	0.93	10	8	2.75	2.8	22	23.3
7637911	G	OXL	BL	80	4	-1	-1.04	1	1.04	120	117	2.75	2.88	23	23.7
7639237	D	OXL	BL	80	4	-0.75	-0.83	0.75	0.79	160	160	2.25	2.3	23	24.1
7639237	G	OXL	BL	80	4	0	-0.05	0.25	0.32	0	179	2.25	2.24	25	24.7
7632475	D	OXL	BL	80	4	-2.25	-2.33		0.02		106	2.5	2.6	22	22.3
7632475	G	OXL	BL	80	4	-1.75	-1.79		0.02		147	2.5	2.5	22	22.1
7635702	D	OXL	T5.BRUN	78	4	-0.5	-0.52	0.5	0.5	180	178	1.25	1.2	25	25.5
7635702	G	OXL	T5.BRUN	78	4	-0.25	-0.31		0.03		90	1.25	1.21	24	24.1
7638620	D	OXL	BL	80	4	-1.75	-1.76	0.75	0.72	180	1	2.25	2.13	22	22
7638620	G	OXL	BL	80	4	-1.75	-1.77	0.75	0.72	180	1	2.25	2.26	22	20.9
7639139	D	OXL	BL	80	4	0	0.03		0.02		174	2	2.06	23	23.9
7639139	G	OXL	BL	80	4	-0.75	-0.77	0.75	0.79	70	70	2	2.04	23	23.5
7641175	D	OXL	BL	80	4	0	0.02		0.04		163	1.75	1.73	23	24
7641175	G	OXL	BL	80	4	0	-0.02		0.14		178	1.75	1.71	23	23
7633960	D	OXL	BL	80	4	0.25	0.23		0.04		114	1.75	1.7	23	23.9
7633960	G	OXL	BL	80	4	0.25	0.25		0.06		113	1.75	1.74	23	23.8
7634465	D	OXL	BL	80	4	0	-0.04		0.03		152	1.25	1.19	23	24.1
7634465	G	OXL	BL	80	4	0	-0.03		0		157	1.25	1.22	23	23.5
7638233	D	OXL	BL	80	4	0.25	0.27	0.5	0.51	65	64	2.5	2.51	25	25.3
